classe,ordem,familia,especie,vernacular,categoria,ano
Mammalia,Didelphimorphia,Didelphidae,"Marmosops ocellatus (Tate, 1931)",cuíca,NT,2014
Mammalia,Didelphimorphia,Didelphidae,"Monodelphis iheringi (Thomas, 1888)",catita,NT,2014
Mammalia,Cetacea,Balaenopteridae,"Megaptera novaeangliae (Borowski, 1781)",jubarte,NT,2014
Mammalia,Cetacea,Delphinidae,"Sotalia fluviatilis (Gervais & Deville, 1853)",tucuxi,NT,2014
Mammalia,Primates,Atelidae,"Alouatta caraya (Humboldt, 1812)",bugio-preto,NT,2014
Mammalia,Primates,Atelidae,"Alouatta puruensis Lönnberg, 1941",guariba,NT,2014
Mammalia,Primates,Callitrichidae,"Callithrix kuhlii Coimbra-Filho, 1985",sagui-de-wied,NT,2014
Mammalia,Primates,Callitrichidae,"Mico melanurus (É. Geoffroy em Humboldt, 1812)",sagui-marrom,NT,2014
Mammalia,Primates,Callitrichidae,"Saguinus martinsi martinsi (Thomas, 1912)",sauim,NT,2014
Mammalia,Primates,Callitrichidae,"Saguinus martinsi ochraceus Hershkovitz, 1966",sauim,NT,2014
Mammalia,Primates,Cebidae,"Saimiri ustus I. Geoffroy, 1843",macaco-de-cheiro,NT,2014
Mammalia,Primates,Cebidae,"Sapajus libidinosus (Spix, 1823)",macaco-prego,NT,2014
Mammalia,Primates,Cebidae,"Sapajus nigritus cucullatus (Spix, 1823)",macaco-prego,NT,2014
Mammalia,Primates,Cebidae,"Sapajus nigritus nigritus (Goldfuss, 1809)",macaco-prego,NT,2014
Mammalia,Primates,Pitheciidae,"Callicebus brunneus (Wagner, 1842)",zogue-zogue,NT,2014
Mammalia,Primates,Pitheciidae,"Chiropotes albinasus (I. Geoffroy & Deville, 1848)",cuxiú-de-nariz-vermelho,NT,2014
Mammalia,Carnivora,Mustelidae,"Lontra longicaudis (Olfers, 1818)",lontra,NT,2014
Mammalia,Chiroptera,Phyllostomidae,"Lonchophylla bokermanni Sazima, Vizotto & Taddei, 1978",morcego,NT,2014
Mammalia,Rodentia,Caviidae,"Cavia magna Ximenez, 1980",preá,NT,2014
Mammalia,Rodentia,Cricetidae,"Hyleaamys oniscus (Thomas, 1904)",rato-do-mato,NT,2014
Mammalia,Rodentia,Cricetidae,"Juliomys rimofrons Oliveira & Bonvicino, 2002",rato-do-mato,NT,2014
Mammalia,Rodentia,Cricetidae,"Oxymycterus caparaoe Hershkovitz, 1998 ",rato-do-brejo,NT,2014
Mammalia,Rodentia,Cricetidae,"Reithrodon typicus Waterhouse, 1837",rato-do-mato,NT,2014
Mammalia,Rodentia,Ctenomyidae,"Ctenomys ibicuiensis Freitas, Fernandes, Fornel & Roratto, 2012",tuco-tuco,NT,2014
Aves,Tinamiformes,Tinamidae,"Tinamus solitarius (Vieillot, 1819)",macuco,NT,2014
Aves,Tinamiformes,Tinamidae,"Crypturellus strigulosus (Temminck, 1815)",inhambu-relógio,NT,2014
Aves,Tinamiformes,Tinamidae,"Crypturellus noctivagus (Wied, 1820)",jaó-do-sul,NT,2014
Aves,Galliformes,Cracidae,"Aburria cujubi (Pelzeln, 1858)",cujubi,NT,2014
Aves,Sphenisciformes,Spheniscidae,"Spheniscus magellanicus (Forster, 1781)",pinguim-de-magalhães,NT,2014
Aves,Procellariiformes,Diomedeidae,"Thalassarche melanophris (Temminck, 1828)",albatroz-de-sobrancelha,NT,2014
